,Unnamed: 0,RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,24_moving_avg_previous,24_moving_avg_current,DELTA_MOVING_AVG,DELTA_MOVING_AVG_%_Change,LAT,LONG
0,0,61639,0,10025,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,1189001.0,1208948.0,1215064.0,1228330.0,1234470.0,1251962.0,1257375.0,1264129.0,1259056.0,1249652.0,1258256.0,1260535.0,1272513.0,1263691.0,1259828.0,1247957.0,1237765.0,1217910.0,1202019.0,1187806.0,1181753.0,1175189.0,1152836.0,1122702.0,1085142.0,1224947.791666667,1220620.333333333,-4327.458333333489,-0.3532769610895448,40.805573,-73.967743
1,2,61637,2,10023,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,1289596.0,1282490.0,1271326.0,1266091.0,1265955.0,1280948.0,1302565.0,1312639.0,1299790.0,1264517.0,1229639.0,1205199.0,1206812.0,1205811.0,1207994.0,1202909.0,1200070.0,1192096.0,1176335.0,1166441.0,1168883.0,1188089.0,1207863.0,1221435.0,1221711.0,1233978.875,1231150.333333333,-2828.5416666667443,-0.2292212390318873,40.78171985,-73.9834242
2,6,61616,6,10002,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,953697.0,967696.0,979362.0,979460.0,973337.0,960093.0,962681.0,971246.0,984506.0,987627.0,996188.0,1005740.0,1015894.0,1019981.0,1025282.0,1039473.0,1057994.0,1080975.0,1097099.0,1101521.0,1100155.0,1099011.0,1101518.0,1097562.0,1096075.0,1023254.0833333335,1029186.5,5932.416666666629,0.5797598820560088,40.710636,-73.9822
3,10,62037,10,11226,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,655855.0,652000.0,653423.0,657212.0,662305.0,664775.0,663281.0,667283.0,673149.0,678501.0,682210.0,687613.0,693300.0,694402.0,690655.0,687929.0,681646.0,675052.0,671506.0,665312.0,659269.0,652836.0,647812.0,641431.0,635159.0,669114.875,668252.5416666665,-862.3333333333721,-0.12887672439405448,40.6772298,-73.9526921
4,11,61807,11,10467,Zip,NY,NY,New York,New York-Newark-Jersey City,Bronx County,170722.0,172520.0,175114.0,175779.0,175809.0,175497.0,174311.0,173171.0,174440.0,175452.0,177069.0,178396.0,180630.0,183169.0,185137.0,187413.0,189887.0,191807.0,194173.0,196371.0,197219.0,197708.0,196971.0,196509.0,194747.0,183136.41666666663,184137.4583333333,1001.041666666686,0.5466098359283282,40.86614955,-73.86874505
5,15,61630,15,10016,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,841445.0,843034.0,838755.0,835486.0,830011.0,832239.0,835734.0,840298.0,843167.0,842411.0,834287.0,825736.0,820737.0,820902.0,820832.0,817377.0,814834.0,808499.0,801271.0,795024.0,789630.0,787577.0,787812.0,785865.0,781665.0,820540.125,818049.2916666665,-2490.8333333333717,-0.3035602108225204,40.7481119,-73.9843841350652
6,19,62012,19,11201,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,961618.0,966193.0,963705.0,961059.0,970581.0,980234.0,988196.0,991144.0,998200.0,1006621.0,1014694.0,1018421.0,1018505.0,1018667.0,1015916.0,1016254.0,1009855.0,1003291.0,995830.0,987644.0,979057.0,970566.0,964629.0,958113.0,954691.0,989958.0416666665,989669.4166666665,-288.625,-0.029155276067466332,40.6961232,-73.994553
7,20,62045,20,11235,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,378923.0,382210.0,384350.0,384884.0,384819.0,386737.0,386968.0,387065.0,385354.0,386657.0,388955.0,391025.0,390891.0,390171.0,389796.0,391498.0,393361.0,393272.0,393036.0,392445.0,393474.0,393284.0,391737.0,389438.0,388849.0,388764.58333333326,389178.16666666674,413.5833333333722,0.10638400488728647,40.58042575,-73.96584909799904
8,21,62087,21,11375,Zip,NY,NY,New York,New York-Newark-Jersey City,Queens County,387571.0,389893.0,391858.0,395745.0,402040.0,406069.0,410619.0,411308.0,412967.0,411704.0,412841.0,413102.0,415293.0,416028.0,418214.0,417850.0,414906.0,412169.0,409151.0,408923.0,408087.0,409276.0,408179.0,407689.0,405080.0,407978.41666666674,408707.95833333326,729.5416666666279,0.17881869159335706,40.71938387691369,-73.84790947338868
9,25,61623,26,10009,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,755859.0,744017.0,741059.0,743445.0,747666.0,746934.0,752743.0,759361.0,767720.0,764218.0,754668.0,752434.0,765914.0,790373.0,809663.0,819986.0,826533.0,836678.0,841793.0,846708.0,848366.0,855185.0,863887.0,867680.0,862011.0,791787.0833333335,796210.0833333335,4423.0,0.5586097693561347,40.72512035,-73.97632108972822
